county,station,sensor_depth_at_low_tide_m,n_heat_stress_days,n_year,likelihood,waterbody,latitude,longitude
Annapolis,Lobster Ledge,5,0,3,0,Annapolis Basin,44.6782,-65.68329
Cape Breton,St. Andrews Channel E,5,0,1,0,Bras d'Or Lakes,46.2432895,-60.3031098
Colchester,Malagash,5,0,2,0,Tatamagouche Bay,45.78334451,-63.22519233
Digby,Centreville 1,5,0,1,0,St. Marys Bay,44.5328,-65.98404
Digby,Long Beach,5,0,2,0,St. Marys Bay,44.401726,-66.159589
Digby,Long Island 1,5,0,1,0,St. Marys Bay,44.35013,-66.2243
Digby,Long Island 2,5,0,2,0,St. Marys Bay,44.333112,-66.202076
Digby,Sandy Cove,5,0,2,0,St. Marys Bay,44.485671,-66.059566
Guysborough,1307,5,0,1,0,Country Harbour,45.16005,-61.68007
Guysborough,Bald Rock,5,0,1,0,Whitehead Harbour,45.19943,-61.191
Guysborough,Barachois,5,0,1,0,Indian Harbour,45.08461,-61.82237
Guysborough,Barren Island,5,0,5,0,Marie Joseph Harbour,44.94988,-62.01012
Guysborough,Center Bay,5,0,4,0,Tor Bay,45.22564,-61.2961
Guysborough,Dorts Cove 1,5,0,1,0,Chedabucto Bay,45.36076,-61.40706
Guysborough,Eddy Cove,5,0,2,0,Strait of Canso,45.52511,-61.25595
Guysborough,Fishermans Island,5,0,2,0,Whitehead Harbour,45.24045,-61.16833
Guysborough,Madeline Point 1,5,0,4,0,Dover Bay,45.2656,-60.95991
Guysborough,Meal Rock,5,0,3,0,Fishermans Harbour,45.10312,-61.63028
Guysborough,Moose Point 1,5,0,2,0,Chedabucto Bay,45.3948,-61.40709
Guysborough,Northeast Branch,5,0,3,0,Whitehead Harbour,45.27063,-61.13499
Guysborough,Pirate Harbour,5,0,2,0,Strait of Canso,45.58928,-61.37943
Guysborough,Rook Island 1,5,0,5,0,Chedabucto Bay,45.35227,-61.28686
Guysborough,Seal Cove 1,5,0,3,0,Dover Bay,45.25184,-61.01773
Guysborough,The Bull,5,0,3,0,New Harbour,45.15527,-61.39867
Guysborough,Tickle Island 1,5,0,3,0,Chedabucto Bay,45.3594,-61.04287
Halifax,Beaver Point,5,0,3,0,Beaver Harbour,44.87761,-62.39922
Halifax,Borgles Island,5,0,2,0,Shoal Bay,44.77437,-62.72518
Halifax,East Gibbs Island,5,0,2,0,Sheet Harbour,44.83858,-62.51107
Halifax,Owls Head,5,0,1,0,Owls Head Bay,44.73416,-62.81035
Halifax,Shad Bay,5,0,2,0,Shad Bay,44.50116,-63.81413
Halifax,Shut-In Island,5,0,6,0,St. Margarets Bay,44.55452,-63.95672
Halifax,Spry Harbour,5,0,6,0,Spry Bay,44.81769,-62.62061
Inverness,Canso Lock,5,0,2,0,Strait of Canso,45.64687732,-61.41147455
Lunenburg,Birchy Head,5,0,5,0,St. Margarets Bay,44.57130379,-64.035121470000007
Lunenburg,Flat Island,5,0,6,0,Mahone Bay,44.43346,-64.1312
Lunenburg,Little Rafuse Island,5,0,5,0,Mahone Bay,44.43509,-64.25171
Lunenburg,Snake Island,5,0,1,0,Mahone Bay,44.54357,-64.17342
Lunenburg,Tilley Point,5,0,4,0,St. Margarets Bay,44.5483,-64.01741
Lunenburg,Upper Blandford,5,0,2,0,Mahone Bay,44.50889,-64.13291
Pictou,Olding Island,5,0,2,0,Merigomish Harbour,45.644,-62.468
Queens,Mersey Point,5,0,2,0,Liverpool Bay,44.02611,-64.66574
Richmond,Cape Auguet,5,0,3,0,Arichat Harbour,45.49824,-61.0913
Richmond,Cape Auguet Bay,5,0,1,0,Arichat Harbour,45.50036,-61.0187
Richmond,Cascarette Island,5,0,1,0,Lennox Passage,45.61129,-60.98441
Richmond,Gabion Shoal,5,0,4,0,Lennox Passage,45.6026,-60.90244
Richmond,Red Point,5,0,1,0,Little Harbour,45.56094,-60.7611
Richmond,St. Peters Canal N,5,0,1,0,Bras d'Or Lakes,45.6595477,-60.8645138
Shelburne,Blue Island,5,0,4,0,Green Harbour,43.68621,-65.16825
Shelburne,Camerons Cove,5,0,1,0,Woods Harbour,43.49714,-65.73784
Shelburne,Ingomar,5,0,5,0,Negro Harbour,43.52369502,-65.35572913
Shelburne,McNutts Island,5,0,3,0,Shelburne Harbour,43.63034,-65.26101
Shelburne,Taylors Rock,5,0,3,0,Port La Tour,43.46887,-65.43173
Victoria,North Harbour,5,0,1,0,Aspy Bay,46.91123,-60.47478
Yarmouth,Big Pond Point,5,0,1,0,Chebogue Harbour,43.770388,-66.135192
Yarmouth,Lobster Bay,5,0,2,0,Lobster Bay,43.67902,-65.89818
Yarmouth,Old Point Channel,5,0,3,0,Lobster Bay,43.72102036,-65.84574206
Yarmouth,Ram Island,5,0,4,0,Lobster Bay,43.68447,-65.83601
Yarmouth,Tucker Island,5,0,1,0,Lobster Bay,43.7160799,-65.94269059
Yarmouth,Wedgeport,5,0,3,0,Lobster Bay,43.69405,-65.95942
