county,waterbody,station,latitude,longitude,n_year,n_year_superchill,likelihood
Cape Breton,Bras d'Or Lakes,Little Bras d'Or Channel,46.2962606,-60.2876892,2,2,1
Digby,St. Marys Bay,Long Beach,44.401726,-66.159589,3,0,0
Digby,St. Marys Bay,Long Island 1,44.35013,-66.2243,1,0,0
Digby,St. Marys Bay,Long Island 2,44.333112,-66.202076,3,0,0
Digby,St. Marys Bay,Sandy Cove,44.485671,-66.059566,3,0,0
Guysborough,Chedabucto Bay,Dorts Cove 1,45.36076,-61.40706,5,1,0.2
Guysborough,Chedabucto Bay,Moose Point 1,45.3948,-61.40709,5,1,0.2
Guysborough,Chedabucto Bay,Rook Island 1,45.35227,-61.28686,4,1,0.25
Guysborough,Chedabucto Bay,Tickle Island 1,45.3594,-61.04287,5,2,0.4
Guysborough,Country Harbour,1307,45.16005,-61.68007,2,1,0.5
Guysborough,Country Harbour,West Ferry Ramp,45.174167,-61.708333,1,1,1
Guysborough,Dover Bay,Madeline Point 1,45.2656,-60.95991,5,2,0.4
Guysborough,Dover Bay,Seal Cove 1,45.25184,-61.01773,3,1,0.333
Guysborough,Fishermans Harbour,Meal Rock,45.10312,-61.63028,3,0,0
Guysborough,Indian Harbour,Barachois,45.08461,-61.82237,2,2,1
Guysborough,Marie Joseph Harbour,Barren Island,44.94988,-62.01012,4,1,0.25
Guysborough,New Harbour,The Bull,45.15527,-61.39867,3,2,0.667
Guysborough,Strait of Canso,Eddy Cove,45.52511,-61.25595,2,1,0.5
Guysborough,Tor Bay,Center Bay,45.22564,-61.2961,3,0,0
Guysborough,Tor Bay,English Harbour,45.25007,-61.29866,1,1,1
Guysborough,Tor Bay,Tanner Island,45.23018,-61.25339,1,1,1
Guysborough,Whitehead Harbour,Bald Rock,45.19943,-61.191,3,2,0.667
Guysborough,Whitehead Harbour,Fishermans Island,45.24045,-61.16833,4,1,0.25
Guysborough,Whitehead Harbour,Northeast Branch,45.27063,-61.13499,5,1,0.2
Halifax,Beaver Harbour,Beaver Point,44.87761,-62.39922,3,1,0.333
Halifax,Owls Head Bay,Owls Head,44.73416,-62.81035,1,1,1
Halifax,Shad Bay,Shad Bay,44.50116,-63.81413,1,0,0
Halifax,Sheet Harbour,East Gibbs Island,44.83858,-62.51107,1,0,0
Halifax,Spry Bay,Spry Harbour,44.81769,-62.62061,4,0,0
Halifax,St. Margarets Bay,Shut-In Island,44.55452,-63.95672,5,0,0
Inverness,Bras d'Or Lakes,Denys Basin E,45.9039881,-60.9948583,2,0,0
Inverness,Bras d'Or Lakes,Denys Basin W,45.901028,-61.0286561,2,0,0
Inverness,Strait of Canso,Canso Lock,45.64687732,-61.41147455,3,1,0.333
Inverness,Strait of Canso,Pulp Mill,45.59586275,-61.36382192,1,0,0
Inverness,Whycocomagh Basin,Deep Basin,45.948201,-61.124562,2,0,0
Lunenburg,Aspotogan Harbour,Saddle Island,44.50335,-64.0499,1,0,0
Lunenburg,Mahone Bay,Flat Island,44.43346,-64.1312,4,1,0.25
Lunenburg,Mahone Bay,Little Rafuse Island,44.43509,-64.25171,4,0,0
Lunenburg,Mahone Bay,Upper Blandford,44.50889,-64.13291,1,0,0
Lunenburg,St. Margarets Bay,Birchy Head,44.57130379,-64.035121470000007,5,0,0
Lunenburg,St. Margarets Bay,Tilley Point,44.5483,-64.01741,3,0,0
Pictou,Merigomish Harbour,Olding Island,45.644,-62.468,1,1,1
Queens,Liverpool Bay,Mersey Point,44.02611,-64.66574,2,0,0
Richmond,Arichat Harbour,Cape Auguet,45.49824,-61.0913,3,0,0
Richmond,Arichat Harbour,Kavanagh Point,45.49823692,-61.01930751,3,1,0.333
Richmond,Bay of Rocks,Les Rochers,45.52904,-60.92601,1,1,1
Richmond,Bras d'Or Lakes,St. Peters Canal S,45.6507949,-60.8740765,2,2,1
Richmond,Lennox Passage,Gabion Shoal,45.6026,-60.90244,1,1,1
Richmond,Little Harbour,Red Point,45.56094,-60.7611,2,2,1
Shelburne,Green Harbour,Blue Island,43.68621,-65.16825,5,0,0
Shelburne,Little Harbour,Little Harbour,43.7169,-65.008796,3,0,0
Shelburne,Negro Harbour,Ingomar,43.52369502,-65.35572913,5,0,0
Shelburne,Port La Tour,Taylors Rock,43.46887,-65.43173,5,0,0
Shelburne,Shelburne Harbour,McNutts Island,43.63034,-65.26101,3,0,0
Shelburne,Woods Harbour,Camerons Cove,43.49714,-65.73784,2,1,0.5
Victoria,Bras d'Or Lakes,Little Narrows N,45.9989801,-60.974338,2,0,0
Victoria,Bras d'Or Lakes,Nyanza Bay E,46.0652428,-60.8948307,2,0,0
Victoria,Bras d'Or Lakes,Nyanza Bay W,46.0647787,-60.9023563,2,0,0
Yarmouth,Chebogue Harbour,Big Pond Point,43.770388,-66.135192,2,0,0
Yarmouth,Lobster Bay,Old Point Channel,43.72102036,-65.84574206,2,1,0.5
Yarmouth,Lobster Bay,Ram Island,43.68447,-65.83601,4,1,0.25
